date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,a1_pctoffhigh,a2_rsi,a3_williams,a4_stochastic,a5_bollinger,a6_support,a7_peg_lt1,a8_cyclical_judgment,b9_mktcap,b10_grossmargin,b11_opmargin,b12_netmargin,b13_roe,b14_roa,b15_dividend,b16_epstrend,b17_leverage_judgment,c18_macd,c19_ema,c20_aroon,c21_adx,c22_relvol,c23_rsirecross,d24_epsbeat,d25_noearnings2wk,d26_tailwind_judgment,d27_catalyst_judgment,d28_pegroe_combo,e29_liquidity,e30_not_concentrated,e31_iv_extreme,e32_fitstyle_judgment,b33_domainleadership_judgment,outcome_1q,outcome_1y
2026-07-07,CNA,moonshot_growth,21,N/A,11,3,4,3,51.97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,2,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,1,2,N/A,N/A,1,2,,
2026-07-07,AIZ,moonshot_growth,23,N/A,11,3,6,3,282.51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,2,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,CRL,moonshot_growth,18,N/A,9,3,3,3,231.905,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,0,0,0,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,N/A,2,N/A,N/A,1,2,,
2026-07-07,TECH,moonshot_growth,22,N/A,13,3,3,3,70.72,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,1,1,2,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,0,2,N/A,N/A,1,2,,
2026-07-07,CORT,moonshot_growth,20,N/A,10,3,4,3,93.83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,0,N/A,1,2,0,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,2,0,2,N/A,N/A,1,2,,
2026-07-07,ALKS,moonshot_growth,20,N/A,11,3,3,3,55.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,1,1,0,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,N/A,2,N/A,N/A,1,2,,
2026-07-07,VOYA,moonshot_growth,21,N/A,11,3,4,3,97.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,2,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,1,2,N/A,N/A,1,2,,
2026-07-07,FSS,moonshot_growth,27,N/A,13,3,8,3,126.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,2,2,N/A,1,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,1,3,2,N/A,N/A,1,2,,
2026-07-07,THG,moonshot_growth,23,N/A,11,3,6,3,222.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,N/A,N/A,N/A,3,1,2,N/A,2,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,LOAR,moonshot_growth,22,N/A,10,3,6,3,78.93,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,1,1,0,N/A,1,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,4,1,1,2,N/A,N/A,1,2,,
2026-07-07,CACC,moonshot_growth,25,N/A,13,3,6,3,656.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,0,N/A,1,N/A,N/A,3,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
