ticker,archetype,date,a1_pctoffhigh,a2_rsi,a3_williams,a4_stochastic,a5_bollinger,a6_support,a7_peg_lt1,a8_cyclical_judgment,b9_mktcap,b10_grossmargin,b11_opmargin,b12_netmargin,b13_roe,b14_roa,b15_dividend,b16_epstrend,b17_leverage_judgment,c18_macd,c19_ema,c20_aroon,c21_adx,c22_relvol,c23_rsirecross,d24_epsbeat,d25_noearnings2wk,d26_tailwind_judgment,d27_catalyst_judgment,d28_pegroe_combo,e29_liquidity,e30_not_concentrated,e31_iv_extreme,e32_fitstyle_judgment,b33_domainleadership_judgment
ACAD,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
ACIW,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
ADUS,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,FAIL,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
AIZ,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
ALKS,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
AVAH,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
BOW,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,FAIL,N/A,N/A,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
BSVN,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,FAIL,N/A,N/A,N/A,PASS,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
CNA,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
CORT,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,FAIL,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
CRL,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,N/A,N/A,PASS,PASS,PASS,N/A,FAIL,FAIL,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
CVLT,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
ELMD,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,FAIL,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
ENVA,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
FTDR,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
GCBC,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,FAIL,N/A,N/A,N/A,PASS,PASS,PASS,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
GCMG,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,FAIL,N/A,PASS,N/A,N/A,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
GSHD,moonshot_growth,2026-07-07,PASS,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,FAIL,N/A,N/A,N/A,N/A,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
HALO,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
HIW,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,PASS,N/A,PASS,PASS,PASS,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
HMN,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,N/A,N/A,N/A,PASS,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
IPAR,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,PASS,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
LGND,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
LTH,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,PASS,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
MAX,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,FAIL,FAIL,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
PAYO,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,N/A,N/A,PASS,N/A,FAIL,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
PGNY,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,FAIL,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,PASS,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
PLMR,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,PASS,N/A,PASS,N/A,N/A,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
PNTG,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,FAIL,FAIL,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,PASS,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
PRVA,moonshot_growth,2026-07-07,FAIL,FAIL,N/A,FAIL,FAIL,FAIL,FAIL,N/A,PASS,FAIL,PASS,N/A,PASS,PASS,FAIL,N/A,N/A,FAIL,N/A,PASS,PASS,FAIL,FAIL,N/A,N/A,N/A,N/A,N/A,PASS,PASS,N/A,N/A,N/A
